compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites,year_clean
Semagacestat,_-secretase inhibitor,_-secretase complex,Alzheimer disease,Phase 3,,2010,Worse cognition/functional outcomes vs placebo; increased adverse events (incl. skin cancer signal reported),clinical_failure,CNS,mixed,other_safety_or_unknown,Discontinued for safety/tox,,C[C@@H](C(=O)N[C@H]1C2=CC=CC=C2CCN(C1=O)C)NC(=O)[C@H](C(C)C)O,CCH(C(=O)NCH1C2=CC=CC=C2CCN(C1=O)C)NC(=O)CH(C(C)C)O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,9843750,OK,78,"Peptidomimetic liability. The structure relies on a benzazepinone scaffold with a flexible hydroxy-amide tail, mimicking a transition state but failing modern developability rules. High rotatable bond count and peptide-like character suggest poor permeability and rapid metabolic clearance. It lacks the rigidity required for a high-quality CNS drug. Furthermore, gamma-secretase inhibitors (GSIs) are notorious for Notch-mediated toxicity. Tox Summary: Not Clean (Notch risk + metabolic instability).",Low,"Hydroxy-amide (Metabolic soft spot), Peptidomimetic backbone",0.4,Likely PK failures or GI toxicity due to Notch inhibition.,0.05,GSIs have a near-zero success rate in efficacy trials.,0.01,Chronic toxicity is practically guaranteed.,0.0002,,2010.0
Avagacestat,_-secretase inhibitor,_-secretase complex,Alzheimer disease (prodromal/mild AD studies),Phase 2,,2012,Development ended after Phase 2; benefit/risk did not justify continuation,clinical_failure,CNS,risk_benefit,risk_benefit_unfavorable,Discontinued for safety/tox,,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)CH(CCC(F)(F)F)C(=O)N)Cl,XEAOPVUAMONVLA-QGZVFWFLSA-N,46883536,OK,72,"A molecular 'Brick'. The combination of a sulfonamide, chlorophenyl, and oxadiazole pushes the MW and TPSA (>100 Å²) beyond acceptable limits for a CNS agent. This profile screams 'P-gp substrate'. The trifluoroalkyl chain attempts to add potency via lipophilicity, but the result is a heavy, polar molecule with poor brain penetration prospects. The sulfonamide moiety also introduces idiosyncratic toxicity risks. Tox Summary: Not Clean.",Medium,"Sulfonamide (Idiosyncratic tox), Oxadiazole (Reactive risk)",0.5,Safety risks from sulfonamide and potential off-target accumulation.,0.05,Poor CNS exposure will likely lead to lack of efficacy.,0.05,Commercial viability is low due to likely high dose/poor PK.,0.001,,2012.0
Tarenflurbil,_-secretase modulator,_-secretase complex (selective modulation),Mild Alzheimer disease,Phase 3,,2008,Phase 3 failed to meet cognition/ADL endpoints; development stopped,clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,C[C@H](C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,CCH(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,SYTBZMRGLBWNTM-SNVBAGLBSA-N,92337,OK,65,"An acidic anachronism. This is essentially a repurposed NSAID scaffold (biphenyl propionic acid). While the 'Modulator' mechanism is safer than direct inhibition, the physicochemical profile is poor for CNS. Carboxylic acids are heavily restricted from the brain by efflux transporters and ionization. To achieve efficacy, this molecule will likely require massive doses (hundreds of mg), triggering the 'Rule of Two' for DILI via acyl-glucuronide formation. Tox Summary: Not Clean (Dose-dependent DILI risk).",Medium,"Carboxylic Acid (Acyl-glucuronide formation), Biphenyl (Lipophilicity)",0.8,"Likely safe in short term, as scaffold is well-known.",0.1,Low potency and poor CNS penetration will hamper efficacy.,0.05,High dose requirements create long-term liver safety risks.,0.004,,2008.0
Tramiprosate,Amyloid aggregation mod.,Amyloid-beta (A-beta) monomers (prevents aggregation),Alzheimer disease,Phase 3,,2007,Phase 3 not significantly better than placebo; development discontinued,clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,C(CN)CS(=O)(=O)O,C(CN)CS(=O)(=O)O,SNKZJIOFVMKAOJ-UHFFFAOYSA-N,1646,OK,65,"This molecule is a polar fragment, not a high-fidelity drug candidate. The structure is a zwitterionic amino-sulfonic acid. While it mimics endogenous metabolites (suggesting safety), it lacks the hydrophobic pharmacophores required for high-affinity binding (Potency < nM). Passive BBB permeability is effectively zero due to high polarity and zwitterionic character; it relies entirely on active transport or massive dosing (chemical chaperone mechanism). It fails the LipE test because it has no 'Lip' to balance. Tox Summary: Clean structure, but likely low efficacy.",High,None (Endogenous mimic),0.85,Likely safe and well-tolerated due to structural simplicity and resemblance to endogenous amines.,0.2,High risk of efficacy failure. Achieving CNS concentrations sufficient for aggregation modulation without a specific receptor target is a massive hurdle.,0.1,Clinical efficacy in amyloid trials is historically abysmal. This molecule lacks the potency to change that trajectory.,0.17,,2007.0
Bitopertin,GlyT1 inhibitor,Glycine Transporter 1 (GlyT1),Negative symptoms / sub-optimally controlled symptoms of schizophrenia,Phase 3,,2014,Primary issue: Phase 3 efficacy failures (no consistent benefit),clinical_failure,CNS,efficacy,idiosyncratic_immunotoxicity,Discontinued for efficacy,,C[C@@H](C(F)(F)F)OC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)N2CCN(CC2)C3=C(C=C(C=N3)C(F)(F)F)F,CCH(C(F)(F)F)OC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)N2CCN(CC2)C3=C(C=C(C=N3)C(F)(F)F)F,YUUGYIUSCYNSQR-LBPRGKRZSA-N,24946690,OK,55,"This is a 'Grease Ball' disguised with polar patches. The molecule features heavy halogenation (7 Fluorines, including two CF3 groups) and a high MW (>500). While the sulfone and amide lower the cLogP, the total lipophilic burden is immense. The central piperazine linker combined with the lipophilic ends creates a significant P-gp efflux risk, jeopardizing CNS exposure. The structure suggests 'Potency Hunting' at the expense of developability. Tox Summary: Not Clean (Phospholipidosis risk via amphiphilic nature).",Medium,"Piperazine (Phospholipidosis risk), High Fluorine load",0.7,"Reasonable safety profile, though PK variability and solubility might be challenges.",0.4,"Target engagement is likely, but CNS side effects or lack of therapeutic window due to P-gp efflux could limit efficacy.",0.2,GlyT1 inhibitors have a history of late-stage failure. The molecule's high MW and lipophilicity reduce its margin for error.,0.45,,2014.0
Pomaglumetad,mGluR2/3 agonist,Metabotropic glutamate receptors 2 and 3 (mGluR2/3),Schizophrenia,Phase 3,,2012,No efficacy vs placebo (development stopped by sponsor),clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,C1[C@]([C@@H]2[C@H]([C@@H]2S1(=O)=O)C(=O)O)(C(=O)O)N,C1C(CH2CH(CH2S1(=O)=O)C(=O)O)(C(=O)O)N,AVDUGNCTZRCAHH-MDASVERJSA-N,9834591,OK,42,"An elegant, conformationally constrained amino acid analog. Chemically beautiful, but physiologically problematic. The molecule is highly polar and zwitterionic (dicarboxylic acid + amine), meaning passive membrane permeability is non-existent. It requires a specific transporter (e.g., LAT1) to cross the BBB. If it misses the transporter, it is dead on arrival. Oral bioavailability is the primary liability here. Tox Summary: Clean.",High,,0.6,"Safety is likely fine, but PK (oral absorption) is the major attrition risk in Phase 1.",0.3,"If PK allows exposure, efficacy should be high due to structural rigidity matching the receptor. Big 'If'.",0.15,mGluR agonists face desensitization and tolerance issues in chronic dosing.,0.25,,2012.0
Preladenant,Adenosine A$_{2A}$ antagonist,Adenosine A2A receptor,"Parkinson disease (motor symptoms, adjunct)",Phase 3,,2013,No evidence of efficacy vs placebo in Phase 3,clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,COCCOC1=CC=C(C=C1)N2CCN(CC2)CCN3C4=C(C=N3)C5=NC(=NN5C(=N4)N)C6=CC=CO6,COCCOC1=CC=C(C=C1)N2CCN(CC2)CCN3C4=C(C=N3)C5=NC(=NN5C(=N4)N)C6=CC=CO6,DTYWJKSSUANMHD-UHFFFAOYSA-N,10117987,OK,88,"HARD KILL. This molecule triggers multiple red flags. 1) The Furan ring is a metabolic liability, prone to opening into reactive dicarbonyls (Suicide Inhibition/MBI). 2) The structure contains a classic hERG pharmacophore: a basic nitrogen (piperazine) linked by an ethyl chain to a heterocyclic system. 3) The complex amino-triazolo-pyrimidine core suggests poor solubility and 'flat' aromatic stacking. This is a dirty molecule. Tox Summary: Not Clean (Furan + hERG).",Low,"Furan (Bioactivation), Phenyl-Piperazine-Linker (hERG)",0.2,High risk of QT prolongation (hERG) or liver enzyme elevation (Furan MBI) halting the trial early.,0.1,"If it survives safety, the poor PK from rapid metabolism will likely kill efficacy.",0.05,Unlikely to reach P3.,0.1,,2013.0
Isradipine,Calcium channel blocker,L-type voltage-gated Ca2+ channels (investigated for Parkinson's),Disease modification in early Parkinson,Phase 3,,2020,No slowing of clinical progression vs placebo (STEADY-PD III),clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,HMJIYCCIJYRONP-UHFFFAOYSA-N,3784,OK,68,"A classic Dihydropyridine (DHP) scaffold, likely a Calcium Channel Blocker. The critical flaw is the Benzoxadiazole (Benzofurazan) moiety. This ring system is electronically unique but carries a 'Mutagenicity/Toxicity Tax' due to potential redox cycling or ring fragmentation. Furthermore, DHPs are notorious for peripheral vasodilation (hypotension) limiting the dose required to achieve CNS concentrations. It fights physiology more than pathology. Tox Summary: Not Clean (Benzoxadiazole alert).",Medium,"Benzoxadiazole (Mutagenicity/Redox risk), DHP (Oxidation to Pyridine)",0.6,Dose-limiting hypotension is the main safety marker. Benzoxadiazole might trigger genotox screens.,0.3,CNS efficacy is difficult to separate from peripheral cardiovascular collapse.,0.15,Commercial viability is low given the crowded generic landscape of CCBs.,0.35,,2020.0
NXY-059,Free-radical trap,Free radicals (nitrone spin trap),Acute ischemic stroke,Phase 3,,2006,SAINT II negative for endpoints ‚Üí development discontinued,clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,CC(C)(C)/[N+](=C/C1=C(C=C(C=C1)S(=O)(=O)[O-])S(=O)(=O)[O-])/[O-].[Na+].[Na+],CC(C)(C)N+(=CC1=C(C=C(C=C1)S(=O)(=O)O-)S(=O)(=O)O-)O-.Na+.Na+,XLZOVRYBVCMCGL-BPNVQINPSA-L,6440181,OK,92,"This structure is a medicinal chemistry paradox. It attempts to be a CNS agent while carrying two sulfonate groups, ensuring a permanent dianionic charge at physiological pH. Passive BBB penetration is physically impossible (TPSA > 120, Net Charge -2). The nitrone core is chemically reactive (hydrolysis/reduction risk). Relying on 'leaky BBB' in disease states is a flawed strategy. This is a chemical reagent, not a drug.",Low,"Nitrone (radical generator/hydrolysis), Sulfonates (polarity anchor)",0.85,Likely safe in healthy volunteers due to lack of tissue penetration and rapid renal clearance of the dianion.,0.1,Will fail to engage CNS target due to inability to cross the blood-brain barrier.,0.05,Efficacy failure guaranteed. Tox Summary: Clean but Useless.,0.15,,2006.0
Tirilazad,Lipid peroxidation inhibitor,Lipid peroxyl radicals (21-aminosteroid),Acute ischemic stroke / CNS injury,Phase 3,,1997,Trials showed no benefit; signal of worse outcomes reported,clinical_failure,CNS,risk_benefit,risk_benefit_unfavorable,Discontinued for safety/tox,,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3=CC[C@@]2([C@H]1C(=O)CN5CCN(CC5)C6=NC(=NC(=C6)N7CCCC7)N8CCCC8)C)C,CCH1CCH2CH3CCC4=CC(=O)C=CC4(C3=CCC2(CH1C(=O)CN5CCN(CC5)C6=NC(=NC(=C6)N7CCCC7)N8CCCC8)C)C,RBKASMJPSJDQKY-RBFSKHHSSA-N,104903,OK,88,"A 'Molecular Obscenity'. This structure grafts a steroid core onto a massive, complex lipophilic tail containing a pyrimidine and multiple saturated heterocycles. MW is visibly >600, and cLogP is likely >6. This violates every rule of CNS drug design. It is a 'Grease Tanker' that will suffer from solubility-limited absorption, high plasma protein binding (>99%), and phospholipidosis risks. The alpha-amino ketone linker is a stability liability.",Low,"Steroid core (endocrine disruption), Basic lipophilic tail (hERG/Phospholipidosis)",0.6,High risk of injection site reactions or erratic oral PK. hERG risk is significant.,0.2,PK variability and potential for metabolite-driven toxicity.,0.1,Chronic safety issues (lipidosis) or lack of free fraction in CNS. Tox Summary: Not Clean.,0.25,"Steroid A-ring, Piperazine/Pyrrolidine oxidation, Linker hydrolysis",1997.0
Gavestinel,NMDA glycine-site antagonist,NMDA receptor glycine binding site,Acute stroke neuroprotection,Phase 3,,2000,No improvement in functional outcome (GAIN International),clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,C1=CC=C(C=C1)NC(=O)/C=C/C2=C(NC3=C2C(=CC(=C3)Cl)Cl)C(=O)O,C1=CC=C(C=C1)NC(=O)C=CC2=C(NC3=C2C(=CC(=C3)Cl)Cl)C(=O)O,WZBNEZWCNKUOSM-VOTSOKGWSA-N,6450546,OK,75,"A classic 'Brick Dust' candidate. The dichloro-indole/quinoline core fused with a planar vinyl-amide linker suggests high melting point and poor aqueous solubility. The carboxylic acid is a 'CNS Anchor', severely limiting passive diffusion across the BBB (requires TPSA < 90, this is borderline but the charge is the killer). While it avoids overt toxicophores, the physicochemical properties are misaligned with the indication.",Medium,"Vinyl amide (potential Michael acceptor/epoxidation risk), Dichloro-aromatic (lipophilicity)",0.8,"Likely safe, though absorption may be non-linear due to solubility.",0.3,CNS exposure will be the limiting factor. High doses required to drive brain concentration.,0.1,Commercial failure due to high pill burden or lack of superior efficacy. Tox Summary: Clean.,0.4,,2000.0
Aptiganel,NMDA receptor antagonist,NMDA receptor ion channel (non-competitive),Acute ischemic stroke,Phase 2/3,,2001,No clinical benefit; notable CNS/physiologic adverse effects in program,clinical_failure,CNS,mixed,other_safety_or_unknown,Discontinued for safety/tox,,CCC1=CC(=CC=C1)N(C)C(=NC2=CC=CC3=CC=CC=C32)N,CCC1=CC(=CC=C1)N(C)C(=NC2=CC=CC3=CC=CC=C32)N,BFNCJMURTMZBTE-UHFFFAOYSA-N,60840,OK,65,"The Guanidine Trap. This molecule relies on a highly basic guanidine core (pKa ~12-13) flanked by lipophilic aromatics. While lipophilic cations can penetrate the CNS, the permanent charge creates a 'Selectivity Tax'. It mimics PCP-site blockers, carrying high risks of psychotomimetic side effects. The combination of a cation and lipophilic bulk is a textbook hERG pharmacophore. It is potent but dirty.",Medium,"Diaryl Guanidine (hERG, CNS excitation, promiscuity)",0.5,CNS side effects (dissociation/hallucinations) or CV effects (hERG) likely at therapeutic doses.,0.25,Narrow therapeutic window between efficacy and psychotomimetic tox.,0.05,Safety profile is unacceptable for broad use. Tox Summary: Not Clean.,0.35,,2001.0
Selfotel,NMDA receptor antagonist,NMDA receptor (competitive antagonist),Acute ischemic stroke / TBI,Phase 2/3,,1997,Stroke studies terminated (safety/benefit concerns drove termination),clinical_failure,CNS,tox_safety,cardiovascular_risk,Discontinued for safety/tox,,C1CN[C@@H](C[C@@H]1CP(=O)(O)O)C(=O)O,C1CNCH(CCH1CP(=O)(O)O)C(=O)O,LPMRCCNDNGONCD-RITPCOANSA-N,68736,OK,90,"A 'Polarity Bomb'. The molecule contains a secondary amine, a carboxylic acid, and a phosphonic acid. It is a zwitterionic nightmare with zero oral bioavailability. Passive CNS penetration is impossible. Unless this is a prodrug (it is not presented as one) or intended for intrathecal delivery, it is not a viable therapeutic. It represents a tool compound structure, not a drug.",High,"Phosphonate (Renal toxicity risk, bone deposition)",0.7,"Safe if IV, but renal toxicity is a watch-out for phosphonates.",0.15,Zero oral efficacy. IV route impractical for most CNS indications.,0.05,No commercial viability without a prodrug strategy. Tox Summary: Renal Risk.,0.2,,1997.0
Telcagepant,CGRP receptor antagonist,Calcitonin gene-related peptide (CGRP) receptor,Acute migraine,Phase 3,,2011,Liver enzyme elevations / DILI concern � development discontinued,clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,C1C[C@H](C(=O)N(C[C@@H]1C2=C(C(=CC=C2)F)F)CC(F)(F)F)NC(=O)N3CCC(CC3)N4C5=C(NC4=O)N=CC=C5,C1CCH(C(=O)N(CCH1C2=C(C(=CC=C2)F)F)CC(F)(F)F)NC(=O)N3CCC(CC3)N4C5=C(NC4=O)N=CC=C5,CGDZXLJGHVKVIE-DNVCBOLYSA-N,11319053,OK,28,"This molecule represents a sophisticated effort to balance potency and physicochemical properties in a difficult target class (CGRP). The scaffold avoids the 'grease tax' by utilizing polar urea and amide linkers rather than lipophilic bulk. However, for a CNS indication, the physicochemical properties are borderline: MW is likely >500 and TPSA >100, pushing the limits of blood-brain barrier permeability without active transport. The absence of a highly basic center reduces hERG risk (a common pitfall in this space), but the high polar surface area suggests P-gp efflux liability. The trifluoroethyl and difluorophenyl moieties are metabolically robust. Overall, a high-quality molecule, but CNS penetration remains the primary development risk.",Medium,None identified,0.85,Clean structural alerts and lack of basic hERG pharmacophore suggest good safety profile.,0.45,Efficacy depends heavily on CNS exposure; high TPSA/MW may limit receptor occupancy in the brain.,0.25,Commercial viability is strong if CNS penetration is solved; safety profile appears clean for chronic use.,0.75,,2011.0
Posicor,Calcium channel blocker,T-type and L-type voltage-gated Ca2+ channels,Hypertension,Approved,,1998,CYP3A4 inhibition causing drug-drug interactions,market_withdrawal,Cardiovascular,pk_adme,differential_pk_interactions,Withdrawn / restricted for safety,,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F.Cl.Cl,CC(C)CH1C2=C(CCC1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F.Cl.Cl,MTJLQTFHJIHXIX-GDUXWEAWSA-N,60662,OK,95,"HARD KILL. This molecule contains a fatal structural flaw hidden in the ester side chain: the methoxyacetyl group (OC(=O)COC). In vivo hydrolysis of this ester will release Methoxyacetic Acid (MAA), a known testicular toxicant and teratogen. This is a non-negotiable safety hazard. Additionally, the molecule exhibits a classic hERG pharmacophore: a basic tertiary amine connected by a flexible linker to a lipophilic aromatic system (benzimidazole) and a bulky core. The combination of guaranteed metabolic toxicity (MAA release) and high hERG risk makes this a 'Dead on Arrival' candidate. No amount of potency can salvage the MAA liability.",Low,"Methoxyacetate ester (Releases Methoxyacetic Acid - Teratogen/Testicular Toxin), Basic amine-linker-aromatic (hERG)",0.1,High risk of failure due to hERG signals or preclinical reproductive toxicity findings.,0.05,"If it survives P1, the MAA metabolite will likely cause attrition due to DDI (CYP inhibition) or tox.",0.01,Unapprovable safety profile.,0.1,,1998.0
Exubera,Inhaled Insulin,Insulin receptor (withdrawn for commercial/respiratory concerns),Diabetes,Approved,,2007,Poor formulation/commercial failure due to delivery system,market_withdrawal,Metabolic,cmc_formulation,formulation_liability,Discontinued for CMC / formulation,,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(=O)N)C(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN,CCCH(C)CH1C(=O)NCH2CSSCCH(C(=O)NCH(CSSCCH(C(=O)NCC(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(C(=O)NCH(CSSCCH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC(=O)CH(NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NCH(CC(=O)N)C(=O)O)C(=O)NCC(=O)NCH(CCC(=O)O)C(=O)NCH(CCCNC(=N)N)C(=O)NCC(=O)NCH(CC5=CC=CC=C5)C(=O)NCH(CC6=CC=CC=C6)C(=O)NCH(CC7=CC=C(C=C7)O)C(=O)NCH(CH(C)O)C(=O)N8CCCCH8C(=O)NCH(CCCCN)C(=O)NCH(CH(C)O)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)CH(CC(C)C)NC(=O)CH(CC2=CNC=N2)NC(=O)CH(CCC(=O)N)NC(=O)CH(CC(=O)N)NC(=O)CH(C(C)C)NC(=O)CH(CC2=CC=CC=C2)N)C(=O)NCH(C(=O)NCH(C(=O)N1)CO)CH(C)O)NC(=O)CH(CCC(=O)N)NC(=O)CH(CCC(=O)O)NC(=O)CH(C(C)C)NC(=O)CH(CH(C)CC)NC(=O)CN,PBGKTOXHQIOBKM-FHFVDXKLSA-N,118984375,OK,92,"This is a biologic (peptide/protein), not a small molecule. As a Medicinal Chemist, evaluating this against Lipinski's rules results in a catastrophic failure: MW >> 500, TPSA >> 140, Rotatable Bonds >> 10. It has zero oral bioavailability and requires injection or specialized inhalation delivery. From a small molecule perspective, it is a 'Brick'—chemically complex, expensive to manufacture, and unstable to proteases. While it may be a valid therapeutic protein, it possesses none of the drug-like properties required for a small molecule optimization campaign. Tox Summary: Immunogenicity and formulation stability are the primary concerns, not traditional small molecule tox.",Low,"Disulfide bridges (Redox labile), Peptide bonds (Protease labile)",0.8,"As an endogenous analogue, safety is likely high, provided formulation doesn't trigger immunogenicity.",0.5,Efficacy is guaranteed if delivery works; the challenge is PK variability via inhalation.,0.3,"Commercial hurdles for inhaled insulin are historically massive (device, lung safety).",0.2,,2007.0
BIBX1382,EGFR inhibitor,Epidermal Growth Factor Receptor (EGFR),Solid tumors (NSCLC),Phase 1,,2002,Poor oral bioavailability and rapid clearance (AO-mediated metabolism),clinical_failure,Oncology,pk_adme,low_exposure_high_clearance,Discontinued for PK/ADME,,,,FTFRZXFNZVCRSK-UHFFFAOYSA-N,6918508,OK,100,CRITICAL ERROR: No structure provided. Cannot evaluate 'nan'. A molecule with no atoms has zero potency and infinite developability issues.,Low,,0.0,Non-existent.,0.0,Non-existent.,0.0,Non-existent.,0.0,,2002.0
Avoralstat,Plasma kallikrein inhibitor,Plasma Kallikrein,Hereditary angioedema,Phase 3,,2018,Poor PK with insufficient systemic exposure,late_stage_termination,Immunology,pk_adme,low_exposure_pk_failure,Discontinued for lack of efficacy,,COC1=CC(=C(C=C1C=C)C(=O)NC2=CC=C(C=C2)C(=N)N)C3=C(N=C(C=C3)C(=O)NCC4CC4)C(=O)O,COC1=CC(=C(C=C1C=C)C(=O)NC2=CC=C(C=C2)C(=N)N)C3=C(N=C(C=C3)C(=O)NCC4CC4)C(=O)O,TUWMKPVJGGWGNL-UHFFFAOYSA-N,86566678,OK,78,"A structural disaster for a chronic indication. You have combined a highly basic amidine (pKa ~11, permeability killer) with a reactive vinyl group (metabolic alert). The molecule is likely zwitterionic due to the carboxylic acid, guaranteeing poor oral bioavailability. The vinyl moiety attached to the aromatic ring is a 'soft spot' for epoxidation, raising genotoxicity concerns. This looks like a trypsin-trap probe, not a drug. The 'Grease Tax' is low, but the 'Permeability Tax' is fatal.",Low,"Vinyl group (Michael acceptor/Epoxide precursor), Amidine (cationic phospholipidosis risk)",0.4,Safety concerns with the vinyl group and potential hypotension from the amidine.,0.1,Oral bioavailability will likely be near zero.,0.05,Chronic dosing of a vinyl-containing molecule is a regulatory nightmare.,0.002,,2018.0
Olcegepant,CGRP receptor antagonist,Calcitonin gene-related peptide (CGRP) receptor,Migraine,Phase 2,,2004,Low oral bioavailability limiting development,clinical_failure,Neurology,pk_adme,low_oral_bioavailability,Discontinued for PK/ADME,,C1CN(CCC1N2CC3=CC=CC=C3NC2=O)C(=O)N[C@H](CC4=CC(=C(C(=C4)Br)O)Br)C(=O)N[C@@H](CCCCN)C(=O)N5CCN(CC5)C6=CC=NC=C6,C1CN(CCC1N2CC3=CC=CC=C3NC2=O)C(=O)NCH(CC4=CC(=C(C(=C4)Br)O)Br)C(=O)NCH(CCCCN)C(=O)N5CCN(CC5)C6=CC=NC=C6,ITIXDWVDFFXNEG-JHOUSYSJSA-N,6918509,OK,92,"This is 'The Brick' personified. A peptidomimetic monster with a molecular weight that likely breaches 800 Da. The inclusion of a 3,5-dibromotyrosine motif is egregious for a CNS target—halogenated phenols are notorious for thyroid toxicity and uncoupling oxidative phosphorylation. TPSA is massive; brain penetration will be non-existent. This is a tool compound that should never see a human. Immediate 'Hard Kill' based on CNS MPO failure and toxicophore presence.",Low,"3,5-Dibromophenol (Thyroid tox/Uncoupler), Primary amine (Conjugation)",0.2,High risk of off-target tox (thyroid) and accumulation.,0.01,Zero chance of crossing the BBB to hit a neurology target.,0.01,Dead on arrival.,2e-05,,2004.0
