compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites
Zonisamide,Sodium channel modulator,Voltage-gated Na+ channels and T-type Ca2+ channels,Parkinson adjunct/other,Phase 2,,2010,Inefficacy (some programs),clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,UBQNRHZMVUUOMG-UHFFFAOYSA-N,5734,OK,48,"Fragment-sized anticonvulsant profile. While CNS penetration is guaranteed (MW ~212, TPSA < 90), the molecule relies on a primary sulfonamide, a known toxicophore for idiosyncratic hypersensitivity (SJS/TEN). Furthermore, such low MW implies low specific affinity, necessitating high clinical doses (likely >100mg/day), which amplifies the 'Rule of Two' DILI risk despite low lipophilicity. Tox Summary: Sulfonamide Alert.",High,Primary Sulfonamide (Hypersensitivity),0.8,"Likely safe in short term, high exposure achievable.",0.4,"Efficacy likely, but high dose burden is a commercial/safety disadvantage.",0.1,Idiosyncratic skin reactions (SJS) often appear in larger populations.,0.6,
Clazosentan,Endothelin A antagonist,Endothelin A (ET-A) receptor,SAH vasospasm,Phase 3,,2019,Inefficacy/risk‚Äìbenefit,clinical_failure,CNS,risk_benefit,risk_benefit_unfavorable,Discontinued for safety/tox,,CC1=CN=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=CC(=NC=C3)C4=NNN=N4)OCCO)OC5=CC=CC=C5OC,CC1=CN=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=CC(=NC=C3)C4=NNN=N4)OCCO)OC5=CC=CC=C5OC,LFWCJABOXHSRGC-UHFFFAOYSA-N,6433095,OK,92,"The Brick. MW > 600, TPSA > 150, and an acidic tetrazole moiety. This structure violates every CNS MPO guideline. Passive BBB permeability is effectively zero. Unless this is an intrathecal or IV agent for disrupted BBB indications (e.g., vasospasm), it is a medicinal chemistry failure for a CNS target. High complexity also suggests high hepatic clearance or biliary excretion. Tox Summary: Not Clean (Physchem failure).",Medium,"Tetrazole (Acidic), Sulfonamide",0.3,Poor PK predicted. Likely IV only.,0.1,Zero brain penetration for neuronal targets.,0.05,Commercial viability for oral CNS is nil.,0.15,
Roxadustat,HIF-PH inhibitor,HIF prolyl-hydroxylase,Anemia,Phase 3,,2021,Risk‚Äìbenefit debates (region-dependent),clinical_failure,Hematology,risk_benefit,risk_benefit_unfavorable,Discontinued for safety/tox,,CC1=C2C=C(C=CC2=C(C(=N1)C(=O)NCC(=O)O)O)OC3=CC=CC=C3,CC1=C2C=C(C=CC2=C(C(=N1)C(=O)NCC(=O)O)O)OC3=CC=CC=C3,YOZBGTLTNGAVFU-UHFFFAOYSA-N,11256664,OK,18,"Textbook design for a peripheral target. The glycine-mimetic tail provides the necessary anionic anchor for the active site while restricting distribution to the periphery (Hematology indication), avoiding CNS off-target effects. The isoquinoline core provides rigid scaffolding for LipE. Physicochemical properties are perfectly tuned for oral bioavailability and liver/kidney targeting. Minimal structural alerts. Tox Summary: Clean.",High,None,0.9,"Clean profile, predictable PK.",0.6,High probability of target engagement in periphery.,0.4,"Mechanism-based safety (HIF stabilization) is the main hurdle, not chemistry.",0.85,
Bucindolol,Beta-blocker,_1_ and _2_-adrenergic receptors,HF,Phase 3,,2000,Inefficacy/risk‚Äìbenefit,clinical_failure,Cardiovascular,risk_benefit,risk_benefit_unfavorable,Discontinued for safety/tox,,CC(C)(CC1=CNC2=CC=CC=C21)NCC(COC3=CC=CC=C3C#N)O,CC(C)(CC1=CNC2=CC=CC=C21)NCC(COC3=CC=CC=C3C#N)O,FBMYKMYQHCBIGU-UHFFFAOYSA-N,51045,OK,18,"An exemplary display of medicinal chemistry optimization. The scaffold utilizes a gem-dimethyl linker to block metabolic deamination adjacent to the secondary amine, a common liability in this pharmacophore. The indole core provides necessary aromatic bulk without the 'Grease Tax' of a biphenyl or naphthyl system. The nitrile is a metabolically robust polar anchor. LipE appears optimized. While the beta-hydroxy amine tail carries a baseline hERG risk, the overall polarity and specific vectors suggest a clean profile. Tox Summary: Clean.",High,None,0.85,Standard GPCR pharmacophore with optimized metabolic blocking groups. Low risk of unexpected tox.,0.6,Mechanism is well-validated; efficacy depends on specific receptor subtype selectivity.,0.4,"Commercial viability is the main hurdle in a crowded cardiovascular market, not safety.",0.85,
Cariporide,NHE-1 inhibitor,Sodium-hydrogen exchanger 1 (NHE-1),MI/cardioprotection,Phase 3,,2000,Stroke signal / risk‚Äìbenefit,clinical_failure,Cardiovascular,risk_benefit,risk_benefit_unfavorable,Discontinued for safety/tox,,CC(C)C1=C(C=C(C=C1)C(=O)N=C(N)N)S(=O)(=O)C,CC(C)C1=C(C=C(C=C1)C(=O)N=C(N)N)S(=O)(=O)C,IWXNYAIICFKCTM-UHFFFAOYSA-N,151172,OK,52,"A polar 'brick' dominated by the acylguanidine moiety. While this group is essential for the specific ion-exchange target, it creates significant permeability challenges (zwitterionic character) and often results in poor oral bioavailability. The sulfone adds polarity without specific binding value, further depressing LipE. The isopropyl group is a metabolic soft spot. This molecule feels like a probe, not a drug; it lacks the balance required for a high-fidelity therapeutic. Tox Summary: Clean, but likely low exposure.",Medium,Acylguanidine (Permeability/PK liability),0.75,"Likely safe, but PK variability due to polarity may complicate dosing.",0.25,Target class has a history of clinical futility (outcome trials); poor cellular penetration limits efficacy.,0.05,High attrition rate in this mechanism class.,0.4,
Xanomeline,Muscarinic agonist,M1 and M4 muscarinic receptors,Schizophrenia/AD,Phase 2,,2000,GI tolerability + development halted,clinical_failure,CNS,risk_benefit,risk_benefit_unfavorable,Discontinued for safety/tox,,CCCCCCOC1=NSN=C1C2=CCCN(C2)C,CCCCCCOC1=NSN=C1C2=CCCN(C2)C,JOLJIIDDOBNFHW-UHFFFAOYSA-N,60809,OK,82,"This molecule commits a cardinal sin: The 'Grease Tax'. The C6-alkyloxy tail is a lazy, lipophilic anchor used to force affinity at the expense of developability. This long alkyl chain invites extensive oxidative metabolism (omega oxidation) and drastically lowers LipE. Furthermore, the 1,2,5-thiadiazole ring is a bioactivation alert, capable of ring-opening to reactive species. The tetrahydropyridine core is structurally adjacent to neurotoxic pharmacophores (though substitution patterns differ). A metabolic nightmare. Tox Summary: Not Clean (Bioactivation risk).",Low,"1,2,5-Thiadiazole (Ring opening), Long Alkyl Chain (Metabolic sponge)",0.3,High risk of cholinergic side effects and metabolic variability.,0.15,Poor tolerability window expected.,0.05,Unlikely to survive chronic dosing scrutiny.,0.2,
Pexacerfont,CRF1 antagonist,Corticotropin-releasing factor receptor 1 (CRF1),Depression/anxiety,Phase 2/3,,2010,Inefficacy + liver abnormalities,clinical_failure,CNS,mixed,hepatotoxicity,Discontinued for safety/tox,,CC[C@@H](C)NC1=NC(=NC2=C(C(=NN21)C)C3=C(N=C(C=C3)OC)C)C,CCCH(C)NC1=NC(=NC2=C(C(=NN21)C)C3=C(N=C(C=C3)OC)C)C,LBWQSAZEYIZZCE-SNVBAGLBSA-N,9884366,OK,35,"A competent, if slightly dense, heteroaromatic stack. The molecule features a complex fused system decorated with a chiral branched amine, which introduces necessary 3D character to an otherwise flat scaffold (improving solubility and selectivity). The methoxy-pyridine and pyrazolo-pyrimidine cores are standard medicinal chemistry fare. The primary risk here is 'Brick Dust' behavior—solubility limited absorption due to high crystallinity and aromatic stacking. No overt toxicophores, but LipE is likely borderline due to MW/cLogP balance. Tox Summary: Clean.",Medium,None,0.8,Clean structural alerts; main risk is PK (solubility).,0.35,Target class (CRF1) has a history of efficacy failures in humans despite robust preclinical data.,0.1,Mechanism attrition weighs heavily here.,0.65,
Lanabecestat,BACE1 inhibitor,_-site Amyloid Precursor Protein Cleaving Enzyme (BACE1/2),Alzheimer disease,Phase 3,,2018,Futility / unlikely to meet primary endpoints,clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,CC#CC1=CC(=CN=C1)C2=CC3=C(CC4([C@]35N=C(C(=N5)N)C)CCC(CC4)OC)C=C2,CC#CC1=CC(=CN=C1)C2=CC3=C(CC4(C35N=C(C(=N5)N)C)CCC(CC4)OC)C=C2,WKDNQONLGXOZRG-BOPKNSRXSA-N,67979346,OK,78,"Chemically elegant but clinically cursed. The spiro-cyclic core demonstrates high Fsp3 and sophisticated design, but the molecule triggers multiple high-risk flags. 1) The internal alkyne (propynyl) is a structural alert for P450 mechanism-based inhibition (MBI), even if more stable than terminal variants. 2) The target class (BACE) carries an automatic 'Clinical Tax' due to a 100% late-stage failure rate involving cognitive worsening. 3) The cyclic amidine core often leads to P-gp efflux issues. A beautiful failure. Tox Summary: Not Clean (MBI risk + Mechanism toxicity).",Medium,"Internal Alkyne (MBI Alert), Cyclic Amidine (P-gp/Permeability)",0.6,MBI risk from alkyne and potential off-target effects reduce safety margins.,0.1,Class-wide failure makes efficacy highly improbable.,0.01,Commercial graveyard for this mechanism.,0.3,
Atabecestat,BACE1 inhibitor,_-site Amyloid Precursor Protein Cleaving Enzyme (BACE1),Alzheimer disease,Phase 2/3,,2018,Elevated liver enzymes; benefit/risk no longer favorable,clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,C[C@]1(C=CSC(=N1)N)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)C#N)F,CC1(C=CSC(=N1)N)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)C#N)F,VLLFGVHGKLDDLW-SFHVURJKSA-N,68254185,OK,42,"Standard aspartyl protease inhibitor architecture. The cyclic amidine warhead provides necessary H-bond interactions but introduces a basic center (pKa ~8-9) which, combined with the lipophilic biaryl tail, flags a risk for phospholipidosis. The nitrile-pyridine is metabolically robust, and TPSA is within CNS limits. However, the molecule suffers from the 'BACE Tax'—excellent chemistry applied to a target with a catastrophic clinical failure rate. Tox Summary: Clean structure, high target risk.",Medium,Cyclic amidine (Phospholipidosis risk),0.75,"Physicochemical properties are sound for safety, though off-target ion channel effects are possible.",0.15,Target class (BACE1) has a history of efficacy failure (amyloid hypothesis) and cognitive worsening.,0.1,Chronic safety concerns for this mechanism are well-documented.,0.011,
Elenbecestat,BACE inhibitor,_-site Amyloid Precursor Protein Cleaving Enzyme (BACE),Alzheimer disease,Phase 3,,2019,Unfavorable benefit/risk per DSMB (MISSION trials ended),clinical_failure,CNS,risk_benefit,cardiovascular_risk,Discontinued for safety/tox,,C[C@@H]1[C@H]2CSC(=N[C@]2(CO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(N=C4)C(F)F)F)N,CCH1CH2CSC(=NC2(CO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(N=C4)C(F)F)F)N,AACUJFVOHGRMTR-DPXNYUHVSA-N,57827330,OK,30,"A masterclass in sp3-rich scaffold design. The fused bicyclic oxazine-thiazine core rigidly locks the pharmacophore, minimizing entropic penalty and maximizing LipE without adding 'grease'. The difluoromethyl group is a smart metabolic blocker. This is elite medicinal chemistry. Unfortunately, it is tethered to the BACE mechanism, which carries a massive attrition penalty. If this were any other target, the score would be <10. Tox Summary: Clean.",High,None identified,0.85,Superior physicochemical profile suggests excellent safety and PK.,0.15,Mechanism attrition dominates; efficacy in CNS indications is historically poor.,0.1,Long-term safety of BACE inhibition remains the primary hurdle.,0.012,
Semagacestat,_-secretase inhibitor,_-secretase complex,Alzheimer disease,Phase 3,,2010,Worse cognition/functional outcomes vs placebo; increased adverse events (incl. skin cancer signal reported),clinical_failure,CNS,mixed,other_safety_or_unknown,Discontinued for safety/tox,,C[C@@H](C(=O)N[C@H]1C2=CC=CC=C2CCN(C1=O)C)NC(=O)[C@H](C(C)C)O,CCH(C(=O)NCH1C2=CC=CC=C2CCN(C1=O)C)NC(=O)CH(C(C)C)O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,9843750,OK,78,"Peptidomimetic liability. The structure relies on a benzazepinone scaffold with a flexible hydroxy-amide tail, mimicking a transition state but failing modern developability rules. High rotatable bond count and peptide-like character suggest poor permeability and rapid metabolic clearance. It lacks the rigidity required for a high-quality CNS drug. Furthermore, gamma-secretase inhibitors (GSIs) are notorious for Notch-mediated toxicity. Tox Summary: Not Clean (Notch risk + metabolic instability).",Low,"Hydroxy-amide (Metabolic soft spot), Peptidomimetic backbone",0.4,Likely PK failures or GI toxicity due to Notch inhibition.,0.05,GSIs have a near-zero success rate in efficacy trials.,0.01,Chronic toxicity is practically guaranteed.,0.0002,
Avagacestat,_-secretase inhibitor,_-secretase complex,Alzheimer disease (prodromal/mild AD studies),Phase 2,,2012,Development ended after Phase 2; benefit/risk did not justify continuation,clinical_failure,CNS,risk_benefit,risk_benefit_unfavorable,Discontinued for safety/tox,,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)CH(CCC(F)(F)F)C(=O)N)Cl,XEAOPVUAMONVLA-QGZVFWFLSA-N,46883536,OK,72,"A molecular 'Brick'. The combination of a sulfonamide, chlorophenyl, and oxadiazole pushes the MW and TPSA (>100 Å²) beyond acceptable limits for a CNS agent. This profile screams 'P-gp substrate'. The trifluoroalkyl chain attempts to add potency via lipophilicity, but the result is a heavy, polar molecule with poor brain penetration prospects. The sulfonamide moiety also introduces idiosyncratic toxicity risks. Tox Summary: Not Clean.",Medium,"Sulfonamide (Idiosyncratic tox), Oxadiazole (Reactive risk)",0.5,Safety risks from sulfonamide and potential off-target accumulation.,0.05,Poor CNS exposure will likely lead to lack of efficacy.,0.05,Commercial viability is low due to likely high dose/poor PK.,0.001,
Tarenflurbil,_-secretase modulator,_-secretase complex (selective modulation),Mild Alzheimer disease,Phase 3,,2008,Phase 3 failed to meet cognition/ADL endpoints; development stopped,clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,C[C@H](C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,CCH(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,SYTBZMRGLBWNTM-SNVBAGLBSA-N,92337,OK,65,"An acidic anachronism. This is essentially a repurposed NSAID scaffold (biphenyl propionic acid). While the 'Modulator' mechanism is safer than direct inhibition, the physicochemical profile is poor for CNS. Carboxylic acids are heavily restricted from the brain by efflux transporters and ionization. To achieve efficacy, this molecule will likely require massive doses (hundreds of mg), triggering the 'Rule of Two' for DILI via acyl-glucuronide formation. Tox Summary: Not Clean (Dose-dependent DILI risk).",Medium,"Carboxylic Acid (Acyl-glucuronide formation), Biphenyl (Lipophilicity)",0.8,"Likely safe in short term, as scaffold is well-known.",0.1,Low potency and poor CNS penetration will hamper efficacy.,0.05,High dose requirements create long-term liver safety risks.,0.004,
Tramiprosate,Amyloid aggregation mod.,Amyloid-beta (A-beta) monomers (prevents aggregation),Alzheimer disease,Phase 3,,2007,Phase 3 not significantly better than placebo; development discontinued,clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,C(CN)CS(=O)(=O)O,C(CN)CS(=O)(=O)O,SNKZJIOFVMKAOJ-UHFFFAOYSA-N,1646,OK,65,"This molecule is a polar fragment, not a high-fidelity drug candidate. The structure is a zwitterionic amino-sulfonic acid. While it mimics endogenous metabolites (suggesting safety), it lacks the hydrophobic pharmacophores required for high-affinity binding (Potency < nM). Passive BBB permeability is effectively zero due to high polarity and zwitterionic character; it relies entirely on active transport or massive dosing (chemical chaperone mechanism). It fails the LipE test because it has no 'Lip' to balance. Tox Summary: Clean structure, but likely low efficacy.",High,None (Endogenous mimic),0.85,Likely safe and well-tolerated due to structural simplicity and resemblance to endogenous amines.,0.2,High risk of efficacy failure. Achieving CNS concentrations sufficient for aggregation modulation without a specific receptor target is a massive hurdle.,0.1,Clinical efficacy in amyloid trials is historically abysmal. This molecule lacks the potency to change that trajectory.,0.17,
Bitopertin,GlyT1 inhibitor,Glycine Transporter 1 (GlyT1),Negative symptoms / sub-optimally controlled symptoms of schizophrenia,Phase 3,,2014,Primary issue: Phase 3 efficacy failures (no consistent benefit),clinical_failure,CNS,efficacy,idiosyncratic_immunotoxicity,Discontinued for efficacy,,C[C@@H](C(F)(F)F)OC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)N2CCN(CC2)C3=C(C=C(C=N3)C(F)(F)F)F,CCH(C(F)(F)F)OC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)N2CCN(CC2)C3=C(C=C(C=N3)C(F)(F)F)F,YUUGYIUSCYNSQR-LBPRGKRZSA-N,24946690,OK,55,"This is a 'Grease Ball' disguised with polar patches. The molecule features heavy halogenation (7 Fluorines, including two CF3 groups) and a high MW (>500). While the sulfone and amide lower the cLogP, the total lipophilic burden is immense. The central piperazine linker combined with the lipophilic ends creates a significant P-gp efflux risk, jeopardizing CNS exposure. The structure suggests 'Potency Hunting' at the expense of developability. Tox Summary: Not Clean (Phospholipidosis risk via amphiphilic nature).",Medium,"Piperazine (Phospholipidosis risk), High Fluorine load",0.7,"Reasonable safety profile, though PK variability and solubility might be challenges.",0.4,"Target engagement is likely, but CNS side effects or lack of therapeutic window due to P-gp efflux could limit efficacy.",0.2,GlyT1 inhibitors have a history of late-stage failure. The molecule's high MW and lipophilicity reduce its margin for error.,0.45,
Pomaglumetad,mGluR2/3 agonist,Metabotropic glutamate receptors 2 and 3 (mGluR2/3),Schizophrenia,Phase 3,,2012,No efficacy vs placebo (development stopped by sponsor),clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,C1[C@]([C@@H]2[C@H]([C@@H]2S1(=O)=O)C(=O)O)(C(=O)O)N,C1C(CH2CH(CH2S1(=O)=O)C(=O)O)(C(=O)O)N,AVDUGNCTZRCAHH-MDASVERJSA-N,9834591,OK,42,"An elegant, conformationally constrained amino acid analog. Chemically beautiful, but physiologically problematic. The molecule is highly polar and zwitterionic (dicarboxylic acid + amine), meaning passive membrane permeability is non-existent. It requires a specific transporter (e.g., LAT1) to cross the BBB. If it misses the transporter, it is dead on arrival. Oral bioavailability is the primary liability here. Tox Summary: Clean.",High,None,0.6,"Safety is likely fine, but PK (oral absorption) is the major attrition risk in Phase 1.",0.3,"If PK allows exposure, efficacy should be high due to structural rigidity matching the receptor. Big 'If'.",0.15,mGluR agonists face desensitization and tolerance issues in chronic dosing.,0.25,
Preladenant,Adenosine A$_{2A}$ antagonist,Adenosine A2A receptor,"Parkinson disease (motor symptoms, adjunct)",Phase 3,,2013,No evidence of efficacy vs placebo in Phase 3,clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,COCCOC1=CC=C(C=C1)N2CCN(CC2)CCN3C4=C(C=N3)C5=NC(=NN5C(=N4)N)C6=CC=CO6,COCCOC1=CC=C(C=C1)N2CCN(CC2)CCN3C4=C(C=N3)C5=NC(=NN5C(=N4)N)C6=CC=CO6,DTYWJKSSUANMHD-UHFFFAOYSA-N,10117987,OK,88,"HARD KILL. This molecule triggers multiple red flags. 1) The Furan ring is a metabolic liability, prone to opening into reactive dicarbonyls (Suicide Inhibition/MBI). 2) The structure contains a classic hERG pharmacophore: a basic nitrogen (piperazine) linked by an ethyl chain to a heterocyclic system. 3) The complex amino-triazolo-pyrimidine core suggests poor solubility and 'flat' aromatic stacking. This is a dirty molecule. Tox Summary: Not Clean (Furan + hERG).",Low,"Furan (Bioactivation), Phenyl-Piperazine-Linker (hERG)",0.2,High risk of QT prolongation (hERG) or liver enzyme elevation (Furan MBI) halting the trial early.,0.1,"If it survives safety, the poor PK from rapid metabolism will likely kill efficacy.",0.05,Unlikely to reach P3.,0.1,
Isradipine,Calcium channel blocker,L-type voltage-gated Ca2+ channels (investigated for Parkinson's),Disease modification in early Parkinson,Phase 3,,2020,No slowing of clinical progression vs placebo (STEADY-PD III),clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,HMJIYCCIJYRONP-UHFFFAOYSA-N,3784,OK,68,"A classic Dihydropyridine (DHP) scaffold, likely a Calcium Channel Blocker. The critical flaw is the Benzoxadiazole (Benzofurazan) moiety. This ring system is electronically unique but carries a 'Mutagenicity/Toxicity Tax' due to potential redox cycling or ring fragmentation. Furthermore, DHPs are notorious for peripheral vasodilation (hypotension) limiting the dose required to achieve CNS concentrations. It fights physiology more than pathology. Tox Summary: Not Clean (Benzoxadiazole alert).",Medium,"Benzoxadiazole (Mutagenicity/Redox risk), DHP (Oxidation to Pyridine)",0.6,Dose-limiting hypotension is the main safety marker. Benzoxadiazole might trigger genotox screens.,0.3,CNS efficacy is difficult to separate from peripheral cardiovascular collapse.,0.15,Commercial viability is low given the crowded generic landscape of CCBs.,0.35,
NXY-059,Free-radical trap,Free radicals (nitrone spin trap),Acute ischemic stroke,Phase 3,,2006,SAINT II negative for endpoints ‚Üí development discontinued,clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,CC(C)(C)/[N+](=C/C1=C(C=C(C=C1)S(=O)(=O)[O-])S(=O)(=O)[O-])/[O-].[Na+].[Na+],CC(C)(C)N+(=CC1=C(C=C(C=C1)S(=O)(=O)O-)S(=O)(=O)O-)O-.Na+.Na+,XLZOVRYBVCMCGL-BPNVQINPSA-L,6440181,OK,92,"This structure is a medicinal chemistry paradox. It attempts to be a CNS agent while carrying two sulfonate groups, ensuring a permanent dianionic charge at physiological pH. Passive BBB penetration is physically impossible (TPSA > 120, Net Charge -2). The nitrone core is chemically reactive (hydrolysis/reduction risk). Relying on 'leaky BBB' in disease states is a flawed strategy. This is a chemical reagent, not a drug.",Low,"Nitrone (radical generator/hydrolysis), Sulfonates (polarity anchor)",0.85,Likely safe in healthy volunteers due to lack of tissue penetration and rapid renal clearance of the dianion.,0.1,Will fail to engage CNS target due to inability to cross the blood-brain barrier.,0.05,Efficacy failure guaranteed. Tox Summary: Clean but Useless.,0.15,
Tirilazad,Lipid peroxidation inhibitor,Lipid peroxyl radicals (21-aminosteroid),Acute ischemic stroke / CNS injury,Phase 3,,1997,Trials showed no benefit; signal of worse outcomes reported,clinical_failure,CNS,risk_benefit,risk_benefit_unfavorable,Discontinued for safety/tox,,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3=CC[C@@]2([C@H]1C(=O)CN5CCN(CC5)C6=NC(=NC(=C6)N7CCCC7)N8CCCC8)C)C,CCH1CCH2CH3CCC4=CC(=O)C=CC4(C3=CCC2(CH1C(=O)CN5CCN(CC5)C6=NC(=NC(=C6)N7CCCC7)N8CCCC8)C)C,RBKASMJPSJDQKY-RBFSKHHSSA-N,104903,OK,88,"A 'Molecular Obscenity'. This structure grafts a steroid core onto a massive, complex lipophilic tail containing a pyrimidine and multiple saturated heterocycles. MW is visibly >600, and cLogP is likely >6. This violates every rule of CNS drug design. It is a 'Grease Tanker' that will suffer from solubility-limited absorption, high plasma protein binding (>99%), and phospholipidosis risks. The alpha-amino ketone linker is a stability liability.",Low,"Steroid core (endocrine disruption), Basic lipophilic tail (hERG/Phospholipidosis)",0.6,High risk of injection site reactions or erratic oral PK. hERG risk is significant.,0.2,PK variability and potential for metabolite-driven toxicity.,0.1,Chronic safety issues (lipidosis) or lack of free fraction in CNS. Tox Summary: Not Clean.,0.25,"Steroid A-ring, Piperazine/Pyrrolidine oxidation, Linker hydrolysis"
Gavestinel,NMDA glycine-site antagonist,NMDA receptor glycine binding site,Acute stroke neuroprotection,Phase 3,,2000,No improvement in functional outcome (GAIN International),clinical_failure,CNS,efficacy,efficacy_failure,Discontinued for efficacy,,C1=CC=C(C=C1)NC(=O)/C=C/C2=C(NC3=C2C(=CC(=C3)Cl)Cl)C(=O)O,C1=CC=C(C=C1)NC(=O)C=CC2=C(NC3=C2C(=CC(=C3)Cl)Cl)C(=O)O,WZBNEZWCNKUOSM-VOTSOKGWSA-N,6450546,OK,75,"A classic 'Brick Dust' candidate. The dichloro-indole/quinoline core fused with a planar vinyl-amide linker suggests high melting point and poor aqueous solubility. The carboxylic acid is a 'CNS Anchor', severely limiting passive diffusion across the BBB (requires TPSA < 90, this is borderline but the charge is the killer). While it avoids overt toxicophores, the physicochemical properties are misaligned with the indication.",Medium,"Vinyl amide (potential Michael acceptor/epoxidation risk), Dichloro-aromatic (lipophilicity)",0.8,"Likely safe, though absorption may be non-linear due to solubility.",0.3,CNS exposure will be the limiting factor. High doses required to drive brain concentration.,0.1,Commercial failure due to high pill burden or lack of superior efficacy. Tox Summary: Clean.,0.4,
Aptiganel,NMDA receptor antagonist,NMDA receptor ion channel (non-competitive),Acute ischemic stroke,Phase 2/3,,2001,No clinical benefit; notable CNS/physiologic adverse effects in program,clinical_failure,CNS,mixed,other_safety_or_unknown,Discontinued for safety/tox,,CCC1=CC(=CC=C1)N(C)C(=NC2=CC=CC3=CC=CC=C32)N,CCC1=CC(=CC=C1)N(C)C(=NC2=CC=CC3=CC=CC=C32)N,BFNCJMURTMZBTE-UHFFFAOYSA-N,60840,OK,65,"The Guanidine Trap. This molecule relies on a highly basic guanidine core (pKa ~12-13) flanked by lipophilic aromatics. While lipophilic cations can penetrate the CNS, the permanent charge creates a 'Selectivity Tax'. It mimics PCP-site blockers, carrying high risks of psychotomimetic side effects. The combination of a cation and lipophilic bulk is a textbook hERG pharmacophore. It is potent but dirty.",Medium,"Diaryl Guanidine (hERG, CNS excitation, promiscuity)",0.5,CNS side effects (dissociation/hallucinations) or CV effects (hERG) likely at therapeutic doses.,0.25,Narrow therapeutic window between efficacy and psychotomimetic tox.,0.05,Safety profile is unacceptable for broad use. Tox Summary: Not Clean.,0.35,
Selfotel,NMDA receptor antagonist,NMDA receptor (competitive antagonist),Acute ischemic stroke / TBI,Phase 2/3,,1997,Stroke studies terminated (safety/benefit concerns drove termination),clinical_failure,CNS,tox_safety,cardiovascular_risk,Discontinued for safety/tox,,C1CN[C@@H](C[C@@H]1CP(=O)(O)O)C(=O)O,C1CNCH(CCH1CP(=O)(O)O)C(=O)O,LPMRCCNDNGONCD-RITPCOANSA-N,68736,OK,90,"A 'Polarity Bomb'. The molecule contains a secondary amine, a carboxylic acid, and a phosphonic acid. It is a zwitterionic nightmare with zero oral bioavailability. Passive CNS penetration is impossible. Unless this is a prodrug (it is not presented as one) or intended for intrathecal delivery, it is not a viable therapeutic. It represents a tool compound structure, not a drug.",High,"Phosphonate (Renal toxicity risk, bone deposition)",0.7,"Safe if IV, but renal toxicity is a watch-out for phosphonates.",0.15,Zero oral efficacy. IV route impractical for most CNS indications.,0.05,No commercial viability without a prodrug strategy. Tox Summary: Renal Risk.,0.2,
